From,To,Airline,Departure Delay,Arrival Delay,Distance,Airline Rating,Airport Rating,weather__hourly__weatherDesc__value
BLR,DEL,Indigo,-5,-8,1736,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,-1,6,1312,0.7,0.86,Clear
BOM,DEL,Indigo,14,5,1138,0.7,0.9,Sunny
CCU,DEL,Indigo,10,2,1312,0.7,0.86,Sunny
DEL,HYD,Indigo,9,2,1244,0.7,0.88,Partly cloudy
BLR,DEL,Indigo,0,-1,1736,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,10,22,1312,0.7,0.86,Partly cloudy
BLR,BOM,Indigo,54,57,848,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,103,96,1312,0.7,0.86,Partly cloudy
BLR,BOM,Indigo,5,15,848,0.7,0.9,Partly cloudy
DEL,HYD,Indigo,1440,1440,1244,0.7,0.88,Light rain shower
BLR,BOM,SpiceJet,19,10,848,0.4,0.9,Partly cloudy
BLR,BOM,SpiceJet,0,8,848,0.4,0.9,Partly cloudy
BOM,DEL,Spicejet,45,42,1138,0.4,0.9,Clear
CCU,DEL,SpiceJet,10,9,1312,0.4,0.86,Clear
BOM,DEL,Spicejet,43,46,1138,0.4,0.9,Sunny
BLR,DEL,SpiceJet,50,72,1736,0.4,0.9,Partly cloudy
BOM,DEL,Vistara,-1,-15,1138,0.8,0.9,Clear
BOM,DEL,Vistara,-3,-3,1138,0.8,0.9,Clear
BOM,DEL,Vistara,11,11,1138,0.8,0.9,Clear
BOM,DEL,Vistara,50,54,1138,0.8,0.9,Sunny
BOM,DEL,Vistara,35,37,1138,0.8,0.9,Sunny
BOM,DEL,Air Asia,-10,-25,1138,0.5,0.9,Partly cloudy
CCU,DEL,Air India,-9,8,1312,0.5,0.86,Clear
BLR,BOM,Air India,8,27,848,0.5,0.9,Partly cloudy
BOM,DEL,Air India,1,-12,1138,0.5,0.9,Partly cloudy
BOM,DEL,Air India,21,13,1138,0.5,0.9,Partly cloudy
BLR,BOM,Air India,72,108,848,0.5,0.9,Partly cloudy
BOM,DEL,Air India,43,63,1138,0.5,0.9,Sunny
BLR,DEL,Air India,77,94,1736,0.5,0.9,Partly cloudy
DEL,HYD,Go Air,1440,1440,1244,0.3,0.88,Partly cloudy
BLR,DEL,Go Air,7,3,1736,0.3,0.9,Partly cloudy
BLR,DEL,Go Air,-1,0,1736,0.3,0.9,Partly cloudy
BOM,DEL,Indigo,41,40,1138,0.7,0.9,Partly cloudy
BLR,DEL,Indigo,4,-4,1736,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,-4,-4,1312,0.7,0.86,Clear
BOM,DEL,Indigo,-5,-26,1138,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,7,3,1312,0.7,0.86,Sunny
CCU,DEL,Indigo,4,9,1312,0.7,0.86,Sunny
DEL,HYD,Indigo,46,48,1244,0.7,0.88,Light rain shower
BLR,BOM,SpiceJet,19,5,848,0.4,0.9,Partly cloudy
BLR,BOM,SpiceJet,-5,10,848,0.4,0.9,Partly cloudy
CCU,DEL,SpiceJet,27,16,1312,0.4,0.86,Clear
BOM,DEL,Spicejet,28,24,1138,0.4,0.9,Sunny
BOM,DEL,Vistara,1,0,1138,0.8,0.9,Partly cloudy
BOM,DEL,Vistara,16,-1,1138,0.8,0.9,Partly cloudy
BOM,DEL,Vistara,14,1,1138,0.8,0.9,Sunny
BOM,DEL,Air Asia,37,11,1138,0.5,0.9,Clear
BOM,DEL,Air Asia,0,0,1138,0.5,0.9,Clear
BLR,BOM,Air Asia,-1,-4,848,0.5,0.9,Partly cloudy
BLR,DEL,Air Asia,0,0,1736,0.5,0.9,Partly cloudy
DEL,HYD,Air Asia,0,-15,1244,0.5,0.88,Clear
BLR,DEL,Air Asia,0,0,1736,0.5,0.9,Partly cloudy
BOM,DEL,Air India,1440,1440,1138,0.5,0.9,Clear
BOM,DEL,Air India,34,28,1138,0.5,0.9,Partly cloudy
DEL,HYD,Go Air,0,0,1244,0.3,0.88,Partly cloudy
BLR,DEL,Go Air,0,-4,1736,0.3,0.9,Partly cloudy
BOM,DEL,Indigo,12,3,1138,0.7,0.9,Partly cloudy
BLR,DEL,Indigo,-6,-23,1736,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,30,19,1312,0.7,0.86,Partly cloudy
BOM,DEL,Indigo,-9,-37,1138,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,0,-3,1312,0.7,0.86,Partly cloudy
DEL,HYD,Indigo,26,24,1244,0.7,0.88,Partly cloudy
DEL,HYD,Indigo,-5,0,1244,0.7,0.88,Partly cloudy
CCU,DEL,SpiceJet,10,0,1312,0.4,0.86,Partly cloudy
BOM,DEL,Spicejet,36,15,1138,0.4,0.9,Partly cloudy
BOM,DEL,Vistara,21,2,1138,0.8,0.9,Partly cloudy
BOM,DEL,Vistara,20,4,1138,0.8,0.9,Partly cloudy
DEL,HYD,Air Asia,38,24,1244,0.5,0.88,Partly cloudy
DEL,HYD,Air Asia,153,124,1244,0.5,0.88,Partly cloudy
BLR,BOM,Air Asia,14,2,848,0.5,0.9,Partly cloudy
CCU,DEL,Air Asia,89,64,1312,0.5,0.86,Clear
BLR,BOM,Air Asia,21,-13,848,0.5,0.9,Partly cloudy
BLR,DEL,Air Asia,33,19,1736,0.5,0.9,Partly cloudy
CCU,DEL,Air India,-14,3,1312,0.5,0.86,Clear
BOM,DEL,Air India,12,-18,1138,0.5,0.9,Patchy rain possible
BOM,DEL,Air India,29,39,1138,0.5,0.9,Sunny
BLR,DEL,Air India,-1,28,1736,0.5,0.9,Partly cloudy
BLR,DEL,Go Air,15,9,1736,0.3,0.9,Partly cloudy
BLR,DEL,Go Air,-4,-4,1736,0.3,0.9,Partly cloudy
BOM,DEL,Indigo,-1,-14,1138,0.7,0.9,Patchy rain possible
BLR,DEL,Indigo,-4,-23,1736,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,2,-3,1312,0.7,0.86,Clear
BOM,DEL,Indigo,-10,-28,1138,0.7,0.9,Patchy rain possible
CCU,DEL,Indigo,0,8,1312,0.7,0.86,Sunny
DEL,HYD,Indigo,-1,14,1244,0.7,0.88,Partly cloudy
CCU,DEL,Indigo,6,12,1312,0.7,0.86,Sunny
DEL,HYD,Indigo,10,-1,1244,0.7,0.88,Partly cloudy
CCU,DEL,SpiceJet,0,-5,1312,0.4,0.86,Clear
BOM,DEL,Spicejet,22,27,1138,0.4,0.9,Partly cloudy
BOM,DEL,Vistara,10,-6,1138,0.8,0.9,Patchy rain possible
BOM,DEL,Vistara,2,11,1138,0.8,0.9,Partly cloudy
BLR,BOM,Air India,-1,20,848,0.5,0.9,Partly cloudy
BOM,DEL,Air India,13,-20,1138,0.5,0.9,Patchy rain possible
BLR,BOM,Air India,27,32,848,0.5,0.9,Partly cloudy
BOM,DEL,Air India,-6,-5,1138,0.5,0.9,Sunny
BLR,DEL,Air India,15,45,1736,0.5,0.9,Partly cloudy
BLR,DEL,Go Air,0,-2,1736,0.3,0.9,Partly cloudy
BOM,DEL,Indigo,4,-4,1138,0.7,0.9,Patchy rain possible
BLR,DEL,Indigo,11,-7,1736,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,3,-8,1312,0.7,0.86,Clear
BOM,DEL,Indigo,6,-15,1138,0.7,0.9,Patchy rain possible
CCU,DEL,Indigo,16,7,1312,0.7,0.86,Sunny
DEL,HYD,Indigo,0,0,1244,0.7,0.88,Patchy rain possible
CCU,DEL,Indigo,0,36,1312,0.7,0.86,Sunny
DEL,HYD,Indigo,13,10,1244,0.7,0.88,Patchy light drizzle
BLR,BOM,SpiceJet,50,58,848,0.4,0.9,Partly cloudy
CCU,DEL,SpiceJet,29,33,1312,0.4,0.86,Clear
BOM,DEL,Spicejet,17,20,1138,0.4,0.9,Partly cloudy
BOM,DEL,Vistara,4,-11,1138,0.8,0.9,Patchy rain possible
BOM,DEL,Vistara,0,18,1138,0.8,0.9,Partly cloudy
CCU,DEL,Air Asia,4,19,1312,0.5,0.86,Partly cloudy
BOM,DEL,Air Asia,-11,-25,1138,0.5,0.9,Clear
BLR,BOM,Air India,-1,17,848,0.5,0.9,Partly cloudy
BOM,DEL,Air India,17,-6,1138,0.5,0.9,Sunny
BLR,BOM,Air India,0,24,848,0.5,0.9,Partly cloudy
BOM,DEL,Air India,38,50,1138,0.5,0.9,Partly cloudy
BLR,DEL,Air India,0,22,1736,0.5,0.9,Partly cloudy
DEL,HYD,Go Air,57,47,1244,0.3,0.88,Partly cloudy
BLR,BOM,Indigo,-7,-24,848,0.7,0.9,Partly cloudy
BOM,DEL,Indigo,0,0,1138,0.7,0.9,Clear
BLR,DEL,Indigo,23,19,1736,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,12,-1,1312,0.7,0.86,Partly cloudy
BOM,DEL,Indigo,12,-1,1138,0.7,0.9,Sunny
CCU,DEL,Indigo,5,-2,1312,0.7,0.86,Partly cloudy
DEL,HYD,Indigo,-4,-5,1244,0.7,0.88,Partly cloudy
DEL,HYD,Indigo,-4,-1,1244,0.7,0.88,Partly cloudy
CCU,DEL,SpiceJet,0,-20,1312,0.4,0.86,Partly cloudy
BOM,DEL,Spicejet,21,25,1138,0.4,0.9,Partly cloudy
BOM,DEL,Vistara,2,-7,1138,0.8,0.9,Partly cloudy
BOM,DEL,Air Asia,9,-2,1138,0.5,0.9,Partly cloudy
BOM,DEL,Air India,69,78,1138,0.5,0.9,Partly cloudy
DEL,HYD,Go Air,0,0,1244,0.3,0.88,Partly cloudy
BLR,DEL,Go Air,177,170,1736,0.3,0.9,Partly cloudy
BOM,DEL,Indigo,11,4,1138,0.7,0.9,Partly cloudy
BLR,DEL,Indigo,1,3,1736,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,11,14,1312,0.7,0.86,Partly cloudy
BOM,DEL,Indigo,33,26,1138,0.7,0.9,Partly cloudy
BLR,DEL,Indigo,15,13,1736,0.7,0.9,Partly cloudy
DEL,HYD,Indigo,5,2,1244,0.7,0.88,Partly cloudy
CCU,DEL,Indigo,10,29,1312,0.7,0.86,Partly cloudy
BOM,DEL,Spicejet,55,53,1138,0.4,0.9,Partly cloudy
BOM,DEL,Vistara,26,36,1138,0.8,0.9,Partly cloudy
BOM,DEL,Vistara,2,1,1138,0.8,0.9,Partly cloudy
CCU,DEL,Air India,-5,19,1312,0.5,0.86,Partly cloudy
BLR,BOM,Air India,46,65,848,0.5,0.9,Partly cloudy
BOM,DEL,Air India,59,61,1138,0.5,0.9,Partly cloudy
CCU,DEL,Go Air,10,26,1312,0.3,0.86,Partly cloudy
BOM,DEL,Indigo,25,23,1138,0.7,0.9,Clear
BLR,DEL,Indigo,49,46,1736,0.7,0.9,Partly cloudy
BOM,DEL,Indigo,-7,-18,1138,0.7,0.9,Partly cloudy
DEL,HYD,Indigo,0,0,1244,0.7,0.88,Partly cloudy
CCU,DEL,Indigo,9,22,1312,0.7,0.86,Partly cloudy
BOM,DEL,Vistara,-2,8,1138,0.8,0.9,Clear
BOM,DEL,Vistara,4,-3,1138,0.8,0.9,Partly cloudy
CCU,DEL,Air India,18,47,1312,0.5,0.86,Partly cloudy
BLR,DEL,Go Air,71,79,1736,0.3,0.9,Partly cloudy
BOM,DEL,Indigo,16,16,1138,0.7,0.9,Clear
BLR,DEL,Indigo,6,8,1736,0.7,0.9,Partly cloudy
BOM,DEL,Indigo,-5,-23,1138,0.7,0.9,Sunny
CCU,DEL,Indigo,-2,6,1312,0.7,0.86,Partly cloudy
BOM,DEL,Vistara,2,7,1138,0.8,0.9,Clear
BOM,DEL,Air India,58,75,1138,0.5,0.9,Sunny
CCU,DEL,Indigo,4,23,1312,0.7,0.86,Partly cloudy
BOM,DEL,Air India,-3,21,1138,0.5,0.9,Partly cloudy
BLR,DEL,Air India,36,98,1736,0.5,0.9,Partly cloudy
CCU,DEL,Air Asia,-1,19,1312,0.5,0.86,Partly cloudy
BOM,DEL,Air Asia,-11,-11,1138,0.5,0.9,Clear
BLR,BOM,Indigo,-1,19,848,0.7,0.9,Partly cloudy
BLR,DEL,SpiceJet,-8,-4,1736,0.4,0.9,Partly cloudy
BOM,DEL,Air Asia,36,17,1138,0.5,0.9,Clear
BOM,DEL,Air Asia,0,0,1138,0.5,0.9,Clear
BLR,BOM,Air Asia,-1,-1,848,0.5,0.9,Partly cloudy
BLR,DEL,Air Asia,0,0,1736,0.5,0.9,Partly cloudy
DEL,HYD,Air Asia,60,0,1244,0.5,0.88,Partly cloudy
BLR,DEL,Air Asia,0,0,1736,0.5,0.9,Partly cloudy
BOM,DEL,Air Asia,2,2,1138,0.5,0.9,Clear
BLR,DEL,Indigo,115,137,1736,0.7,0.9,Partly cloudy
CCU,DEL,Air Asia,60,65,1312,0.5,0.86,Partly cloudy
DEL,HYD,Air Asia,98,69,1244,0.5,0.88,Partly cloudy
DEL,HYD,Air Asia,39,5,1244,0.5,0.88,Partly cloudy
BLR,BOM,Air Asia,87,72,848,0.5,0.9,Partly cloudy
CCU,DEL,Air Asia,138,105,1312,0.5,0.86,Partly cloudy
BLR,BOM,Air Asia,9,36,848,0.5,0.9,Partly cloudy
BLR,DEL,Air Asia,18,18,1736,0.5,0.9,Partly cloudy
CCU,DEL,Air India,-2,7,1312,0.5,0.86,Partly cloudy
CCU,DEL,Go Air,160,179,1312,0.3,0.86,Partly cloudy
BLR,BOM,Air Asia,0,-5,848,0.5,0.9,Partly cloudy
BLR,DEL,Air Asia,-3,-2,1736,0.5,0.9,Partly cloudy
DEL,HYD,Air Asia,57,69,1244,0.5,0.88,Clear
BLR,DEL,Air Asia,-5,9,1736,0.5,0.9,Partly cloudy
CCU,DEL,Air Asia,26,26,1312,0.5,0.86,Sunny
BLR,BOM,Air Asia,-5,13,848,0.5,0.9,Partly cloudy
BLR,DEL,Air Asia,3,16,1736,0.5,0.9,Partly cloudy
CCU,DEL,Air Asia,0,11,1312,0.5,0.86,Sunny
DEL,HYD,Air Asia,-10,-5,1244,0.5,0.88,Partly cloudy
DEL,HYD,Air Asia,0,0,1244,0.5,0.88,Partly cloudy
BLR,BOM,Air Asia,-2,-15,848,0.5,0.9,Cloudy
CCU,DEL,Air Asia,10,8,1312,0.5,0.86,Clear
BLR,BOM,Air Asia,0,3,848,0.5,0.9,Cloudy
BLR,DEL,Air Asia,0,10,1736,0.5,0.9,Cloudy
CCU,DEL,Air India,-8,22,1312,0.5,0.86,Clear
BLR,DEL,Air India,-6,-24,1736,0.5,0.9,Partly cloudy
BLR,BOM,Air India,-1,4,848,0.5,0.9,Partly cloudy
CCU,DEL,Air India,-12,-12,1312,0.5,0.86,Clear
DEL,HYD,Air India,0,13,1244,0.5,0.88,Clear
BLR,BOM,Air India,-16,-12,848,0.5,0.9,Partly cloudy
DEL,HYD,Air India,-1,5,1244,0.5,0.88,Sunny
BLR,DEL,Air India,0,0,1736,0.5,0.9,Partly cloudy
CCU,DEL,Air India,15,20,1312,0.5,0.86,Sunny
DEL,HYD,Air India,44,0,1244,0.5,0.88,Cloudy
DEL,HYD,Air India,85,104,1244,0.5,0.88,Cloudy
BLR,DEL,Air India,2,3,1736,0.5,0.9,Partly cloudy
BLR,DEL,Air India,-7,19,1736,0.5,0.9,Partly cloudy
BLR,BOM,Air India,0,0,848,0.5,0.9,Partly cloudy
CCU,DEL,Air India,0,17,1312,0.5,0.86,Sunny
BLR,BOM,Air India,85,100,848,0.5,0.9,Partly cloudy
CCU,DEL,Air India,5,34,1312,0.5,0.86,Clear
BLR,DEL,Air India,7,12,1736,0.5,0.9,Cloudy
DEL,HYD,Air India,0,0,1244,0.5,0.88,Clear
BLR,DEL,Air India,-2,32,1736,0.5,0.9,Cloudy
DEL,HYD,Go Air,3,17,1244,0.3,0.88,Clear
BLR,BOM,Go Air,6,17,848,0.3,0.9,Partly cloudy
BLR,DEL,Go Air,35,39,1736,0.3,0.9,Partly cloudy
DEL,HYD,Go Air,0,0,1244,0.3,0.88,Clear
BLR,DEL,Go Air,0,0,1736,0.3,0.9,Partly cloudy
BLR,DEL,Go Air,43,37,1736,0.3,0.9,Partly cloudy
BLR,BOM,Go Air,8,22,848,0.3,0.9,Partly cloudy
DEL,HYD,Go Air,0,-17,1244,0.3,0.88,Cloudy
BLR,DEL,Go Air,-1,9,1736,0.3,0.9,Partly cloudy
BLR,BOM,Go Air,12,-4,848,0.3,0.9,Cloudy
CCU,DEL,Go Air,0,0,1312,0.3,0.86,Clear
BLR,DEL,Indigo,-8,-4,1736,0.7,0.9,Cloudy
CCU,DEL,Indigo,0,0,1312,0.7,0.86,Clear
BLR,DEL,Indigo,-6,5,1736,0.7,0.9,Cloudy
BLR,DEL,Indigo,-11,-12,1736,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,-7,-3,1312,0.7,0.86,Clear
DEL,HYD,Indigo,-13,-18,1244,0.7,0.88,Clear
BLR,BOM,Indigo,-4,19,848,0.7,0.9,Partly cloudy
BLR,BOM,Indigo,-2,-2,848,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,-4,-19,1312,0.7,0.86,Clear
BLR,BOM,Indigo,-3,-5,848,0.7,0.9,Partly cloudy
DEL,HYD,Indigo,0,0,1244,0.7,0.88,Clear
CCU,DEL,Indigo,42,43,1312,0.7,0.86,Clear
BLR,BOM,Indigo,2,8,848,0.7,0.9,Partly cloudy
BLR,DEL,Indigo,2,10,1736,0.7,0.9,Partly cloudy
DEL,HYD,Indigo,-13,-6,1244,0.7,0.88,Clear
BLR,DEL,Indigo,12,22,1736,0.7,0.9,Partly cloudy
DEL,HYD,Indigo,5,-8,1244,0.7,0.88,Clear
CCU,DEL,Indigo,5,12,1312,0.7,0.86,Clear
BLR,DEL,Indigo,2,15,1736,0.7,0.9,Partly cloudy
DEL,HYD,Indigo,6,5,1244,0.7,0.88,Sunny
BLR,BOM,Indigo,-5,9,848,0.7,0.9,Partly cloudy
BLR,DEL,Indigo,-3,5,1736,0.7,0.9,Partly cloudy
DEL,HYD,Indigo,7,-5,1244,0.7,0.88,Cloudy
CCU,DEL,Indigo,3,5,1312,0.7,0.86,Sunny
BLR,BOM,Indigo,3,15,848,0.7,0.9,Partly cloudy
CCU,DEL,Indigo,-3,-2,1312,0.7,0.86,Sunny
CCU,DEL,Indigo,108,96,1312,0.7,0.86,Sunny
CCU,DEL,Indigo,13,5,1312,0.7,0.86,Sunny
DEL,HYD,Indigo,5,1,1244,0.7,0.88,Partly cloudy
BLR,BOM,Indigo,-5,6,848,0.7,0.9,Partly cloudy
BLR,DEL,Indigo,0,7,1736,0.7,0.9,Partly cloudy
BLR,BOM,Indigo,0,-15,848,0.7,0.9,Partly cloudy
BLR,DEL,Indigo,-4,5,1736,0.7,0.9,Partly cloudy
DEL,HYD,Indigo,3,-3,1244,0.7,0.88,Cloudy
CCU,DEL,Indigo,113,125,1312,0.7,0.86,Clear
BLR,DEL,Indigo,0,0,1736,0.7,0.9,Partly cloudy
BLR,BOM,Indigo,0,0,848,0.7,0.9,Partly cloudy
BLR,DEL,Indigo,-5,12,1736,0.7,0.9,Partly cloudy
DEL,HYD,Indigo,5,-7,1244,0.7,0.88,Cloudy
CCU,DEL,Indigo,51,60,1312,0.7,0.86,Clear
BLR,DEL,Indigo,0,-10,1736,0.7,0.9,Cloudy
DEL,HYD,Indigo,0,0,1244,0.7,0.88,Clear
CCU,DEL,Indigo,-4,-14,1312,0.7,0.86,Clear
BLR,BOM,Indigo,0,-24,848,0.7,0.9,Cloudy
BLR,DEL,Indigo,-5,-10,1736,0.7,0.9,Cloudy
DEL,HYD,Indigo,0,-5,1244,0.7,0.88,Clear
BLR,BOM,Indigo,0,14,848,0.7,0.9,Cloudy
BLR,DEL,Indigo,-7,-3,1736,0.7,0.9,Cloudy
BLR,BOM,Spicejet,-1,3,848,0.4,0.9,Partly cloudy
BLR,DEL,Spicejet,-3,7,1736,0.4,0.9,Partly cloudy
CCU,DEL,Spicejet,7,0,1312,0.4,0.86,Clear
CCU,DEL,Spicejet,60,65,1312,0.4,0.86,Sunny
DEL,HYD,Spicejet,-10,-11,1244,0.4,0.88,Partly cloudy
CCU,DEL,Spicejet,2,18,1312,0.4,0.86,Clear
BLR,DEL,Spicejet,30,38,1736,0.4,0.9,Cloudy
BLR,BOM,Spicejet,0,0,848,0.4,0.9,Partly cloudy
DEL,HYD,Spicejet,-1,0,1244,0.4,0.88,Cloudy
CCU,DEL,Spicejet,-2,-13,1312,0.4,0.86,Clear
BLR,DEL,Spicejet,-3,2,1736,0.4,0.9,Cloudy
BLR,DEL,Spicejet,45,34,1736,0.4,0.9,Cloudy
BLR,BOM,Vistara,-5,6,848,0.8,0.9,Partly cloudy
DEL,HYD,Vistara,-9,-6,1244,0.8,0.88,Clear
CCU,DEL,Vistara,142,155,1312,0.8,0.86,Sunny
BLR,BOM,Vistara,-5,13,848,0.8,0.9,Partly cloudy
BLR,BOM,Vistara,-5,17,848,0.8,0.9,Partly cloudy
BLR,BOM,Vistara,-5,-8,848,0.8,0.9,Partly cloudy
BLR,DEL,Vistara,-4,20,1736,0.8,0.9,Partly cloudy
DEL,HYD,Vistara,1,9,1244,0.8,0.88,Cloudy
CCU,DEL,Vistara,68,72,1312,0.8,0.86,Sunny
DEL,HYD,Vistara,5,25,1244,0.8,0.88,Partly cloudy
BLR,DEL,Vistara,-3,7,1736,0.8,0.9,Partly cloudy
BLR,BOM,Vistara,0,0,848,0.8,0.9,Partly cloudy
